Row Number,PlayerXPosition,PlayerYPosition,GoalXPosition,GoalYPosition,DesiredMoveXPosition,DesiredMoveYPosition
1,17,5,16,2,-1,-1
2,-15,8,16,2,1,-1
3,3,-1,16,2,1,1
4,-16,4,16,2,1,-1
5,-7,0,16,2,1,1
6,-13,-2,16,2,1,1
7,10,1,16,2,1,1
8,15,-3,16,2,1,1
9,12,-7,16,2,1,1
10,-16,1,16,2,1,1
11,-11,5,16,2,1,-1
12,-16,-5,16,2,1,1
13,7,2,16,2,1,0
14,-15,7,16,2,1,-1
15,-2,3,16,2,1,-1
16,-13,-6,16,2,1,1
17,5,-3,16,2,1,1
18,13,6,16,2,1,-1
19,-10,-8,16,2,1,1
20,0,-2,16,2,1,1
21,1,2,16,2,1,0
22,-7,-4,16,2,1,1
23,-14,8,16,2,1,-1
24,12,6,16,2,1,-1
25,5,-3,16,2,1,1
26,11,0,16,2,1,1
27,-17,-3,16,2,1,1
28,4,7,16,2,1,-1
29,-15,4,16,2,1,-1
30,13,6,16,2,1,-1
31,17,-5,9,4,-1,1
32,1,-5,9,4,1,1
33,1,5,9,4,1,-1
34,2,-2,9,4,1,1
35,14,-1,9,4,-1,1
36,4,3,9,4,1,1
37,-3,7,9,4,1,-1
38,15,8,9,4,-1,-1
39,4,1,9,4,1,1
40,-18,5,9,4,1,-1
41,14,-3,9,4,-1,1
42,-14,-4,9,4,1,1
43,-5,6,9,4,1,-1
44,-1,-5,9,4,1,1
45,1,2,9,4,1,1
46,-15,-7,9,4,1,1
47,-1,-1,9,4,1,1
48,-8,5,9,4,1,-1
49,4,-6,9,4,1,1
50,3,-1,9,4,1,1
51,14,5,9,4,-1,-1
52,-7,6,9,4,1,-1
53,-8,-7,9,4,1,1
54,10,7,9,4,-1,-1
55,-18,-4,9,4,1,1
56,-8,-4,9,4,1,1
57,3,-8,9,4,1,1
58,-5,-4,9,4,1,1
59,18,4,9,4,-1,0
60,-2,2,9,4,1,1
61,15,5,-13,-5,-1,-1
62,-17,-1,-13,-5,1,-1
63,5,-2,-13,-5,-1,-1
64,13,-8,-13,-5,-1,1
65,16,-3,-13,-5,-1,-1
66,1,-1,-13,-5,-1,-1
67,-4,5,-13,-5,-1,-1
68,-14,0,-13,-5,1,-1
69,14,3,-13,-5,-1,-1
70,-13,7,-13,-5,0,-1
71,13,8,-13,-5,-1,-1
72,11,3,-13,-5,-1,-1
73,-1,-4,-13,-5,-1,-1
74,-18,6,-13,-5,1,-1
75,-11,2,-13,-5,-1,-1
76,-8,0,-13,-5,-1,-1
77,-12,7,-13,-5,-1,-1
78,6,4,-13,-5,-1,-1
79,12,-7,-13,-5,-1,1
80,-7,-6,-13,-5,-1,1
81,-18,-1,-13,-5,1,-1
82,2,-2,-13,-5,-1,-1
83,14,5,-13,-5,-1,-1
84,15,-6,-13,-5,-1,1
85,-13,7,-13,-5,0,-1
86,-17,-7,-13,-5,1,1
87,-5,-1,-13,-5,-1,-1
88,7,1,-13,-5,-1,-1
89,8,-3,-13,-5,-1,-1
90,14,5,-13,-5,-1,-1
91,1,3,-9,0,-1,-1
